"","worker","status","duration","condition","setup","seed","consistency","consistency.other","decision","extra.feedback","judge.bad","judge.bad.other","judge.good","judge.good.other","motives","motives.other","opt.balanced","opt.nobad","opt.nogood","opt.obvious","opt.stakes","out.bad","out.broken","out.expected","out.fair","out.good","out.happy","out.regret","out.sense","out.trick","out.unexpected","out.unfair","best.option","decision.case","popular.option","was.obvious","judge.bad.c.avatar","judge.bad.c.interesting","judge.bad.c.no.control","judge.bad.c.value.clash","judge.bad.c.power","judge.bad.c.progress","judge.bad.c.other","judge.good.c.interesting","judge.good.c.role","judge.good.c.avatar","judge.good.c.power","judge.good.c.progress","judge.good.c.other","motives.c.curious","motives.c.avatar","motives.c.interesting","motives.c.other","motives.c.power","motives.c.role","motives.c.speed"
"16","44","Approved",3650,"expected_success","monster_attack","76886","variable","{}",1,"{}","avatar|interesting","{}","avatar|interesting|role","{}","curious|role|avatar|interesting|power","{}","5","2","4","5","2","1","3","3","4","4","3","2","5","1","3","2",NA,"main","1",NA,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"17","56","Approved",867,"expected_success","monster_attack","76886","consistent","{}",1,"{}","power|progress","{}","role|progress","{}","role|power","{}","2","2","2","5","1","1","1","4","5","5","5","1","5","1","2","1",NA,"main","1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"18","77","Approved",1601,"expected_success","monster_attack","76886","variable","{}",3,"{}","no-control","{}","avatar","{}","role","{}","4","5","1","5","1","1","5","1","5","5","5","1","3","1","4","1",NA,"main","1",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"21","140","Approved",1195,"expected_success","monster_attack","76886","variable","{}",1,"**Your Attention Check question at top: I didn't know if you wanted the sentence order reversed or the entire thing written backwards, so I went with the one that just had the order of the words reversed.**  So if it should've been the other way, then:
I mrifnoc taht I ma ta tsael neethgie sraey fo egA!
:)","no-control","{}","progress","{}","avatar","{}","1","2","1","5","1","1","1","4","5","5","5","1","5","1","1","1",NA,"main","1",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"23","89","Approved",959,"expected_success","monster_attack","76886","no-exp","{}",1,"I've never gotten into the role playing types of games. I'd get too wrapped up in them-then neglect my housework, lol.
Thanks for letting me be a part of your study, it was interesting.
Laura","avatar|power|other","If he doesn't survive a bad situation.","avatar|interesting|power|other","He survives bad situations.","curious|role|avatar|power|other","I figured with a chicken, he's going to have something to eat later. 'Winner winner, chicken dinner!""","4","1","1","4","2","1","1","5","5","5","5","1","5","1","1","1",NA,"main","1",NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"26","55","Approved",380,"expected_success","monster_attack","76886","consistent","{}",2,"thanks!","power","{}","avatar","{}","curious","{}","4","2","4","2","2","1","2","5","4","5","4","1","4","1","1","1",NA,"main","1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"27","151","Approved",466,"expected_success","monster_attack","76886","","{}",1,"{}","avatar","{}","role","{}","power","{}","1","3","2","4","3","1","1","3","5","5","5","1","5","1","2","1",NA,"main","1",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"28","53","Approved",344,"expected_success","monster_attack","76886","consistent","{}",1,"Interesting HIT. Thanks for something different.","avatar|interesting|progress","{}","avatar|interesting|role|progress","{}","role|avatar|power","{}","2","1","1","4","5","1","1","5","5","5","5","1","5","1","1","1",NA,"main","1",NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"29","142","Approved",2277,"expected_success","monster_attack","76886","variable","{}",3,"{}","interesting|power","{}","avatar|interesting|progress","{}","role|power","{}","5","4","1","3","1","1","1","4","5","5","5","1","4","1","1","1",NA,"main","1",NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
"30","2","Approved",215,"expected_success","monster_attack","76886","consistent","{}",1,"{}","power","{}","role|power","{}","avatar","{}","2","3","1","4","4","1","1","5","5","5","5","1","5","1","1","2",NA,"main","1",NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"31","78","Approved",1733,"expected_success","market","67832","consistent","{}",2,"{}","avatar|no-control|power|progress","{}","avatar|role|power|progress","{}","role|avatar|interesting","{}","2","2","2","4","4","1","1","4","5","5","5","1","5","1","1","1",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"32","124","Approved",196,"expected_success","market","67832","no-exp","{}",2,"{}","interesting|progress","{}","avatar|interesting","{}","avatar","{}","2","2","1","4","4","1","1","2","5","4","5","1","4","1","4","1",NA,"main","2",NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"35","80","Approved",236,"expected_success","market","67832","no-exp","{}",1,"{}","avatar","{}","avatar","{}","avatar","{}","2","2","2","4","2","1",NA,"4","4","5","5","1","4","1","1","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"36","4","Approved",2762,"expected_success","market","67832","consistent","{}",2,"{}","avatar|progress","{}","avatar|progress","{}","curious|power","{}","2","4","1","4","2","1","2","2","5","5","5","1","5","1","4","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"37","181","Approved",495,"expected_success","market","67832","consistent","{}",2,"{}","avatar|no-control|value-clash|power|progress|other","I feel an outcome is bad if an innocent character is somehow harmed.","avatar|interesting|role|power|progress|other","I feel an outcome is good when it benefits an innocent person.","interesting|power","{}","1","1","1","4","4","1","1","4","5","5","5","1","5","1","2","1",NA,"main","2",NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"38","161","Approved",263,"expected_success","market","67832","variable","{}",2,"none","avatar|power","{}","avatar|role","{}","role|avatar","{}","4","4","1","2","4","1","1","4","5","5","5","1","5","1","2","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"39","193","Approved",602,"expected_success","market","67832","consistent","{}",1,"this is the best hit i ever done. i hope you post more. thank you","avatar|interesting|power","{}","avatar|interesting","{}","role","{}","3","2","1","2","3","1","1","3","5","5","5","1","5","1","2","1",NA,"main","2",NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"40","9","Approved",2885,"expected_success","market","67832","variable","{}",2,"{}","avatar|no-control|value-clash|power|progress","{}","avatar|role|other","If it makes sense morally to do so.","avatar|power","{}","1","2","2","5","2","1","1","4","5","5","5","1","5","1","1","1",NA,"main","2",NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"41","137","Approved",3441,"expected_success","market","67832","variable","{}",1,"I enjoyed this, thank you!","power|progress","{}","avatar|interesting|role|power","{}","avatar|power","{}","4","4","2","2","4","1","1","2","5","5","5","1","5","1","1","1",NA,"main","2",NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"42","112","Approved",526,"expected_success","market","67832","variable","{}",1,"Thank you.  Interesting set up.","avatar|power|progress","{}","avatar|role|progress","{}","avatar|power","{}","2","2","1","5","2","1","1","4","5","5","5","1","5","1","1","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"43","126","Approved",496,"expected_success","market","67832","consistent","{}",2,"It was a great survey overall. Very unique.","avatar|no-control|power|progress","{}","avatar|interesting|progress","{}","interesting|power","{}","4","4","2","2","4","1","1","2","5","5","5","1","5","1","1","1",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"44","131","Approved",388,"expected_success","market","67832","variable","{}",2,"{}","avatar|power|progress","{}","avatar|progress","{}","role|avatar|power","{}","4","4","2","2","2","1","1","3","5","5","5","2","4","1","2","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
"45","201","Approved",386,"expected_success","market","67832","variable","{}",2,"{}","interesting|no-control|value-clash","{}","avatar|role","{}","curious|role","{}","2","2","1","5","3","1","1","4","5","5","5","1","5","1","1","1",NA,"main","2",NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"46","68","Approved",1911,"unexpected_failure","threatened_innocents","40550","consistent","{}",1,"I'm a 28/M and an avid MMORPG player. This was interesting. I chose the option I did due to curiosity and I tend to like violence in games, therefore that's why I picked what I did.","avatar","{}","power","{}","interesting","{}","2","2","1","2","5","5","1","4","4","1","1","5","5","1","4","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"47","184","Approved",321,"unexpected_failure","threatened_innocents","40550","variable","{}",1,"this is a very interesting study.  I wish you luck.","progress","{}","role","{}","role","{}","2","2","3","4","4","3","4","2","4","1","1","5","5","1","4","1",NA,"main","2",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"48","162","Approved",628,"unexpected_failure","threatened_innocents","40550","variable","{}",2,"{}","avatar|no-control|power|progress","{}","avatar|interesting|progress","{}","avatar|interesting","{}","1","4","5","2","2","5","4","1","1","1","1","5","2","1","4","2",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"50","62","Approved",3822,"unexpected_failure","threatened_innocents","40550","variable","{}",2,"Thank you","avatar|power|progress","{}","avatar|interesting|role|power|progress","{}","role|interesting","{}","4","4","2","2","2","5","1","2","2","1","2","5","4","1","2","4",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
"51","23","Approved",6505,"unexpected_failure","threatened_innocents","40550","other","I don't play these games ... BUT ... if I did (and I have observed my children playing them) I would expect the story to dictate my judgements. If you don't have much input on your character (which I assume might happen in some cases) then you might decide to be ""bad"" in one game just because as Jessica Rabbit once explained ...   ""I was draw that way!""",2,"Thanks. Tons o''fun and a welcome change.   And the way, as a one-time Road Rallye participant (where we must take things very literally) for a while, it took all my willpower not to write ""those words backwards!"" as the answer to the first question. I truly hope you would accept that answer as well!","avatar|no-control|value-clash|power|progress|other","There's bad but not unexpected ... i.,e I might think the odds are in my favor for something to work, but know there's no guarantee.  So it's hopefully temporarily bad for my characters, but it's not unfair because I understood the risks I was taking. I guess this is a distinction between bad and unfair.   But most of consider unfair as bad ...","avatar|interesting|role|power|progress|other","I feel it's good if is predictable (as far as ""science"" holds in these games)","role|avatar|interesting|power|other","Why risk death or injury by fighting?  Why give up the perfume on the very first encounter?","1","2","1","5","4","5","4","1","2","1","5","2","1","1","5","4",NA,"main","2",NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
"52","60","Approved",682,"unexpected_failure","threatened_innocents","40550","variable","{}",2,"n/a","avatar|no-control|power","{}","avatar|interesting|power|progress","{}","power","{}","1","1","1","1","1","5","4","1","2","1","2","4","2","1","4","4",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"53","26","Approved",1112,"unexpected_failure","threatened_innocents","40550","consistent","{}",2,"{}","avatar|interesting|value-clash|power|progress","{}","avatar|interesting|role|power|progress","{}","curious|avatar|power","{}","4","2","2","2","2","4","2","2","4","2","2","4","4","1","2","2",NA,"main","2",NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"54","82","Approved",2065,"unexpected_failure","threatened_innocents","40550","consistent","{}",2,"Cool survey; very different than what I'm normally used to seeing. Thanks!","avatar|interesting|value-clash|power|progress","{}","avatar|interesting|power|progress","{}","curious|interesting|power","{}","2","3","5","3","2","5","4","1","1","1","4",NA,"1","1","4","4",NA,"main","2",NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"55","100","Approved",665,"unexpected_failure","threatened_innocents","40550","variable","{}",2,"Thank you. That was interesting.","avatar|no-control|value-clash|power","{}","avatar|power","{}","avatar|power","{}","2","3","1","4","3","5","2","2","3","5","3","5","4","1","4","3",NA,"main","2",NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
"56","49","Approved",546,"unexpected_failure","threatened_innocents","40550","variable","{}",2,"I thought the chicken option would work  and would be a reliable solution to the problem, without risk of being injured.  It was also interesting.  I wanted to see the adversaries as chickens","avatar","{}","role","{}","interesting","{}","2","2","1","1","3","5","5","1","2","1","2","5","1","1","5","5",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"58","52","Approved",542,"unexpected_failure","threatened_innocents","40550","variable","{}",3,"{}","avatar|interesting|power","{}","avatar|interesting|role","{}","avatar","{}",NA,"3","1","2","2","5","1","3","4","1","2","5","4","1","1","2",NA,"main","2",NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"60","59","Approved",410,"unexpected_failure","threatened_innocents","40550","no-exp","{}",2,"{}","avatar|no-control|power","{}","avatar","{}","avatar|interesting","{}","1","1","1","1","3","5","4","2","3","1","3","5","2","1","4","4",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"61","174","Approved",1078,"unexpected_failure","threatened_innocents","40550","variable","{}",1,"{}","avatar|power|progress","{}","avatar|power|progress","{}","power","{}","3","2","3","3","2","5","2","2","2","1","1","5","3","1","4","3",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"62","144","Approved",351,"unexpected_failure","threatened_innocents","40550","variable","{}",1,"{}","avatar|interesting|power","{}","avatar|interesting|role|power|progress","{}","curious|role|other","I imagined the character as if I were reading a book and wanted him to succeed.","2","4","4","3","2","5","1","4","2","1","1","4","4","1","3","4",NA,"main","2",NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"64","135","Approved",682,"unexpected_failure","monster_attack","57614","consistent","{}",2,"This was cool thanks","progress","{}","progress","{}","avatar","{}","2","4","2","2","5","4","1","1","2","1","1","5","2","1","5","4",NA,"main","2",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"65","110","Approved",322,"unexpected_failure","monster_attack","57614","variable","{}",2,"{}","avatar|no-control|power|progress","{}","avatar|interesting|power|progress","{}","curious|interesting","{}","4","5","2","2","4","5","2","1","2","1","1","5","2","1","4","4",NA,"main","2",NA,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"66","57","Approved",155,"unexpected_failure","monster_attack","57614","consistent","{}",2,"{}","avatar","{}","avatar","{}","avatar","{}","4","4","4","2","2","5","2","1","2","1","2","4","1","1","3","4",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"67","84","Approved",849,"unexpected_failure","monster_attack","57614","variable","{}",2,"Thank You, this was interesting!","avatar|power|progress","{}","avatar|role|progress","{}","interesting|power","{}","2","3","1","4","4","2","1","3","4","4","5","5","5","1","3","1",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
"70","10","Approved",1894,"unexpected_failure","monster_attack","57614","variable","{}",2,"None... But very fun","avatar|no-control|value-clash|power|progress","{}","avatar|interesting|role|power|progress","{}","curious|interesting","{}","4","4","2","2","3","5","4","2","2","1","2","4","2","1","4","4",NA,"main","2",NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"71","22","Approved",975,"unexpected_failure","monster_attack","57614","consistent","{}",2,"This was interesting, thanks!","interesting|progress","{}","interesting|role|progress","{}","avatar","{}","4","4","1","1","2","4","1","1","5","2","2","4","5","1","4","1",NA,"main","2",NA,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"72","194","Approved",3022,"unexpected_failure","monster_attack","57614","consistent","{}",1,"{}","avatar|interesting|value-clash|power|progress","{}","avatar|interesting|role|power|progress","{}","avatar","{}","4","2","2","2","2","5","1","1","3","1","1","4","3","1","4","3",NA,"main","2",NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"73","81","Approved",961,"unexpected_failure","monster_attack","57614","consistent","{}",1,"{}","avatar|power|progress","{}","avatar|power|progress","{}","power","{}","1","1","3","3","1","4","4","1","2","1","2","5","2","1","4","4",NA,"main","2",NA,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"74","19","Approved",324,"unexpected_failure","monster_attack","57614","variable","{}",2,"This survey was fun.","progress","{}","avatar","{}","avatar","{}","4","4","5","5","2","4","2","1","2","2","2","4","4","1","4","3",NA,"main","2",NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
